BORO,OCC,FW,year
1,1,249.15494,2002
1,1,254.31384,2002
1,1,172.33043,2002
1,1,135.94079,2002
1,1,190.94346,2002
1,3,164.73271,2002
1,1,154.94448,2002
1,3,128.59847,2002
1,3,189.20114,2002
1,3,221.06368,2002
1,1,220.62478,2002
1,1,176.55067,2002
1,3,172.33043,2002
1,3,185.82033,2002
1,1,189.20114,2002
1,3,190.48769,2002
1,1,183.26966,2002
1,3,16.60915,2002
1,3,172.33043,2002
1,3,14.94728,2002
1,3,16.60915,2002
1,3,16.60915,2002
1,3,172.33043,2002
1,3,189.75237,2002
1,3,198.2748,2002
1,3,16.60915,2002
1,1,175.81172,2002
1,3,14.94728,2002
1,1,195.11454,2002
1,3,170.33447,2002
1,3,192.10467,2002
1,3,19.61805,2002
1,3,172.33043,2002
1,3,176.39584,2002
1,3,16.60915,2002
1,3,16.60915,2002
1,3,16.60915,2002
1,2,189.14281,2002
1,1,172.33043,2002
1,3,218.46151,2002
1,2,203.42936,2002
1,3,16.60915,2002
1,3,16.60915,2002
1,3,170.03347,2002
1,3,164.73271,2002
1,1,172.33043,2002
1,1,189.67769,2002
1,1,200.95914,2002
1,1,226.18077,2002
1,1,235.29088,2002
1,1,232.46719,2002
1,3,170.03347,2002
1,3,16.60915,2002
1,3,218.46151,2002
1,3,183.26966,2002
1,3,176.55067,2002
1,1,164.73271,2002
1,3,16.60915,2002
1,3,193.62487,2002
1,3,16.60915,2002
1,1,184.39314,2002
1,3,16.60915,2002
1,1,259.12661,2002
1,1,199.06643,2002
1,3,172.33043,2002
1,1,176.55067,2002
1,3,16.60915,2002
1,3,16.60915,2002
1,3,226.18077,2002
1,3,16.60915,2002
1,1,150.25485,2002
1,2,192.10467,2002
1,3,16.60915,2002
1,3,128.59847,2002
1,1,220.29718,2002
1,1,200.95914,2002
1,3,203.42936,2002
1,3,241.73771,2002
1,3,176.55067,2002
1,3,169.61091,2002
1,1,198.2748,2002
1,3,191.49159,2002
1,1,160.95067,2002
1,1,164.21931,2002
1,3,249.15661,2002
1,3,16.60915,2002
1,3,189.14281,2002
1,3,172.33043,2002
1,3,226.18077,2002
1,3,172.33043,2002
1,3,170.03347,2002
1,1,170.33447,2002
1,3,16.60915,2002
1,2,169.61091,2002
1,2,166.79059,2002
1,3,173.35316,2002
1,3,14.77416,2002
1,3,16.60915,2002
1,1,198.2748,2002
1,1,171.47536,2002
1,3,16.60915,2002
1,1,231.89177,2002
1,3,172.33043,2002
1,3,168.32651,2002
1,3,171.79129,2002
1,3,220.29718,2002
1,3,16.60915,2002
1,3,14.94728,2002
1,3,249.15494,2002
1,1,168.49764,2002
1,3,191.49159,2002
1,1,169.15155,2002
1,3,16.60915,2002
1,3,166.79059,2002
1,3,176.39584,2002
1,3,164.73271,2002
1,1,218.46151,2002
1,1,189.75237,2002
1,3,190.94346,2002
1,2,164.21931,2002
1,1,211.28403,2002
1,3,192.07356,2002
1,1,165.6188,2002
1,1,200.95914,2002
1,3,16.60915,2002
1,1,226.18077,2002
1,2,183.26966,2002
1,3,172.33043,2002
1,3,16.60915,2002
1,1,168.32651,2002
1,2,201.84263,2002
1,3,16.60915,2002
1,3,172.33043,2002
1,3,231.7505,2002
1,3,192.10467,2002
1,3,16.60915,2002
1,3,16.60915,2002
1,3,168.49764,2002
1,1,189.67769,2002
1,1,186.57207,2002
1,1,160.69397,2002
1,1,172.33043,2002
1,3,16.60915,2002
1,1,226.18077,2002
1,3,16.60915,2002
1,3,235.29088,2002
1,1,172.33043,2002
1,3,16.60915,2002
1,3,16.60915,2002
1,1,172.33043,2002
